,Class,Sex,Age,Fare,Survived
632,1,1,32.0,30.5,1
634,3,0,9.0,27.9,0
635,2,0,28.0,13.0,1
636,3,1,32.0,7.925,0
637,2,1,31.0,26.25,0
638,3,0,41.0,39.6875,0
640,3,1,20.0,7.8542,0
641,1,0,24.0,69.3,1
642,3,0,2.0,27.9,0
644,3,0,0.75,19.2583,1
645,1,1,48.0,76.7292,1
646,3,1,19.0,7.8958,0
647,1,1,56.0,35.5,1
649,3,0,23.0,7.55,1
651,2,0,18.0,23.0,1
652,3,1,21.0,8.4333,0
654,3,0,18.0,6.75,0
655,2,1,24.0,73.5,0
657,3,0,32.0,15.5,0
658,2,1,23.0,13.0,0
659,1,1,58.0,113.275,0
660,1,1,50.0,133.65,1
661,3,1,40.0,7.225,0
662,1,1,47.0,25.5875,0
663,3,1,36.0,7.4958,0
664,3,1,20.0,7.925,1
665,2,1,32.0,73.5,0
666,2,1,25.0,13.0,0
668,3,1,43.0,8.05,0
670,2,0,40.0,39.0,1
671,1,1,31.0,52.0,0
672,2,1,70.0,10.5,0
673,2,1,31.0,13.0,1
675,3,1,18.0,7.775,0
676,3,1,24.5,8.05,0
677,3,0,18.0,9.8417,1
678,3,0,43.0,46.9,0
679,1,1,36.0,512.3292,1
681,1,1,27.0,76.7292,1
682,3,1,20.0,9.225,0
683,3,1,14.0,46.9,0
684,2,1,60.0,39.0,0
685,2,1,25.0,41.5792,0
686,3,1,14.0,39.6875,0
687,3,1,19.0,10.1708,0
688,3,1,18.0,7.7958,0
689,1,0,15.0,211.3375,1
690,1,1,31.0,57.0,1
691,3,0,4.0,13.4167,1
693,3,1,25.0,7.225,0
694,1,1,60.0,26.55,0
695,2,1,52.0,13.5,0
696,3,1,44.0,8.05,0
698,1,1,49.0,110.8833,0
699,3,1,42.0,7.65,0
700,1,0,18.0,227.525,1
701,1,1,35.0,26.2875,1
702,3,0,18.0,14.4542,0
703,3,1,25.0,7.7417,0
704,3,1,26.0,7.8542,0
705,2,1,39.0,26.0,0
706,2,0,45.0,13.5,1
707,1,1,42.0,26.2875,1
708,1,0,22.0,151.55,1
710,1,0,24.0,49.5042,1
712,1,1,48.0,52.0,1
713,3,1,29.0,9.4833,0
714,2,1,52.0,13.0,0
715,3,1,19.0,7.65,0
716,1,0,38.0,227.525,1
717,2,0,27.0,10.5,1
719,3,1,33.0,7.775,0
720,2,0,6.0,33.0,1
721,3,1,17.0,7.0542,0
722,2,1,34.0,13.0,0
723,2,1,50.0,13.0,0
724,1,1,27.0,53.1,1
725,3,1,20.0,8.6625,0
726,2,0,30.0,21.0,1
728,2,1,25.0,26.0,0
729,3,0,25.0,7.925,0
730,1,0,29.0,211.3375,1
731,3,1,11.0,18.7875,0
733,2,1,23.0,13.0,0
734,2,1,23.0,13.0,0
735,3,1,28.5,16.1,0
736,3,0,48.0,34.375,0
737,1,1,35.0,512.3292,1
741,1,1,36.0,78.85,0
742,1,0,21.0,262.375,1
743,3,1,24.0,16.1,0
744,3,1,31.0,7.925,1
745,1,1,70.0,71.0,0
746,3,1,16.0,20.25,0
747,2,0,30.0,13.0,1
748,1,1,19.0,53.1,0
749,3,1,31.0,7.75,0
750,2,0,4.0,23.0,1
751,3,1,6.0,12.475,1
752,3,1,33.0,9.5,0
753,3,1,23.0,7.8958,0
754,2,0,48.0,65.0,1
755,2,1,0.67,14.5,1
756,3,1,28.0,7.7958,0
757,2,1,18.0,11.5,0
758,3,1,34.0,8.05,0
759,1,0,33.0,86.5,1
761,3,1,41.0,7.125,0
762,3,1,20.0,7.2292,1
763,1,0,36.0,120.0,1
764,3,1,16.0,7.775,0
765,1,0,51.0,77.9583,1
767,3,0,30.5,7.75,0
769,3,1,32.0,8.3625,0
770,3,1,24.0,9.5,0
771,3,1,48.0,7.8542,0
772,2,0,57.0,10.5,0
774,2,0,54.0,23.0,1
775,3,1,18.0,7.75,0
777,3,0,5.0,12.475,1
779,1,0,43.0,211.3375,1
780,3,0,13.0,7.2292,1
781,1,0,17.0,57.0,1
782,1,1,29.0,30.0,0
784,3,1,25.0,7.05,0
785,3,1,25.0,7.25,0
786,3,0,18.0,7.4958,1
787,3,1,8.0,29.125,0
788,3,1,1.0,20.575,1
789,1,1,46.0,79.2,0
791,2,1,16.0,26.0,0
794,3,1,25.0,7.8958,0
